a,b,km,csi
SL006,SL017,23.953774609576325,0.4729064039408867
SL007,SL008,24.844565931073557,0.7001180637544274
SL007,SL009,8.915889719585516,0.9504950495049505
SL007,SL011,19.014072408407472,0.8621730382293763
SL007,SL012,15.920515858652125,0.8936170212765957
SL007,SL015,0.8541462710100549,0.7751004016064257
SL007,SL016,5.255526425280119,0.8492063492063492
SL007,SL018,13.423507071544567,0.6086286594761171
SL007,SL019,8.130426224905458,0.7236126224156693
SL007,SL020,8.143786070387863,0.9088699878493317
SL007,SL021,2.48882215443025,0.8637770897832817
SL007,SL022,18.01608748212709,0.576499388004896
SL007,SL023,24.306459203025494,0.8142076502732241
SL007,SL024,15.464157599727294,0.6987179487179487
SL007,SL025,9.155542380052253,0.9197530864197531
SL007,SL026,13.238562321993259,0.8846918489065606
SL007,SL027,11.866998875608617,0.8503401360544217
SL007,SL028,15.408873768031016,0.5238095238095238
SL007,SL029,11.464141557943424,0.8402061855670103
SL007,SL032,13.877491607989953,0.8271028037383178
SL007,SL033,7.377787996500012,0.8559837728194726
SL007,SL034,16.77493203795995,0.8919925512104283
SL007,SL035,10.026450203783703,0.7931034482758621
SL007,SL036,18.71296570826477,0.8583333333333333
SL007,SL037,5.030758359060042,0.946058091286307
SL007,SL038,12.249727477767987,0.8915094339622641
SL007,SL040,14.596187978258873,0.8668407310704961
SL007,SL041,8.041068577111053,0.9116883116883117
SL007,SL042,5.28320198881279,0.890961262553802
SL007,SL044,23.669635136084413,0.8238153098420413
SL007,SL045,13.41878155955342,0.9096209912536443
SL007,SL050,11.919785143202407,0.29372937293729373
SL007,SL051,9.654466538301925,0.6666666666666666
SL007,SL054,15.850236556061379,0.8631578947368421
SL007,SL055,5.158005750710607,0.9246575342465754
SL007,SL056,11.338879527406988,0.8285302593659942
SL007,SL062,11.327549956869406,0.8395953757225434
SL007,SL068,10.457369897527531,0.84
SL007,SL017,12.98686049673036,0.8641618497109826
SL008,SL009,15.987762985496417,0.824468085106383
SL008,SL011,7.894515423643143,0.7633587786259542
SL008,SL012,18.993885567367236,0.6582914572864321
SL008,SL015,23.991723614313607,0.49767441860465117
SL008,SL016,19.948848166359088,0.7816091954022989
SL008,SL018,22.157425102821765,0.6756756756756757
SL008,SL019,21.951615363202162,0.4821173104434907
SL008,SL020,22.769980188553774,0.5854014598540146
SL008,SL021,26.545583079882633,0.6904761904761905
SL008,SL022,8.234291506226583,0.5369003690036901
